4900080.982,4330712.748,-999999
4903145.577,4330693.474,-999999
4906460.736,4333044.924,-999999
4901834.932,4325296.703,-999999
4897729.531,4328033.637,-999999
4897112.758,4330404.361,-999999
4905554.850,4331657.183,-999999
4903839.447,4326780.815,-999999
4895686.468,4324198.075,-999999
4895146.791,4325123.235,-999999
4898423.402,4328746.782,-999999
4900080.982,4330712.748,-999999
4903415.415,4332312.505,-999999
4909698.799,4329652.668,-999999
4909139.847,4325797.832,-999999
4905381.382,4322135.737,-999999
4900871.223,4322347.753,-999999
4901410.900,4324120.978,-999999
4904205.657,4326973.557,-999999
4906923.317,4330539.281,-999999
4906094.527,4332389.602,-999999
4903319.044,4331040.409,-999999
4902413.158,4327455.411,-999999
4904668.237,4325682.187,-999999
4908735.090,4326915.734,-999999
4908137.590,4331001.861,-999999
4903897.270,4332081.215,-999999
4898635.418,4332273.957,-999999
4895859.936,4332312.505,-999999
4896939.290,4334606.133,-999999
4904783.882,4332023.393,-999999
4900485.740,4325759.283,-999999
